power,time
0.29200,4
0.30400,69
0.30400,133
0.34000,202
0.34000,267
0.28800,334
0.29200,399
0.29200,463
0.33000,532
0.33000,596
0.42000,664
0.42000,729
0.42000,794
0.44800,862
0.44800,926
0.43000,995
0.43000,1059
0.34000,1124
0.38400,1191
0.38400,1257
0.44000,1324
0.44000,1389
0.45200,1457
0.48800,1522
0.48800,1587
0.48800,1654
0.48800,1719
0.49200,1787
0.49200,1852
0.50200,1916
0.39600,1985
0.39600,2049
0.40400,2117
0.40400,2181
0.40600,2250
0.40600,2315
0.40600,2379
0.36800,2447
0.36800,2512
0.36800,2580
0.36800,2644
0.36800,2709
0.36800,2777
0.36800,2842
0.39000,2910
0.39000,2974
0.60200,3043
0.83800,3107
0.83800,3172
0.83600,3240
0.83600,3305
0.83800,3372
0.83000,3437
0.83000,3501
0.84800,3570
0.84800,3635
0.57400,3702
0.57400,3768
0.56400,3832
0.63800,3900
0.63800,3964
0.62200,4033
0.62200,4097
0.63000,4165
0.62000,4229
0.62000,4295
0.62200,4363
0.62200,4427
0.67200,4496
0.67200,4560
0.56600,4625
0.85800,4692
0.85800,4758
0.73800,4825
0.73800,4890
0.92400,4954
0.73800,5023
0.73800,5088
0.86600,5155
0.86600,5221
0.86600,5288
0.86600,5353
0.86600,5417
0.86200,5486
0.86200,5550
1.07200,5618
1.23200,5684
1.23200,5748
1.24800,5816
1.24800,5880
1.36600,5949
1.36600,6013
1.29800,6078
1.28400,6145
1.28400,6211
1.29400,6278
1.29400,6343
1.28400,6412
1.28400,6476
1.28400,6541
1.39200,6608
1.39200,6674
1.35000,6741
1.30000,6806
1.30000,6870
1.30400,6939
1.30400,7003
1.30800,7071
1.30800,7137
1.51000,7201
1.70000,7269
1.70000,7333
1.50800,7402
1.50800,7466
1.29400,7531
1.55400,7598
1.55400,7664
1.63600,7732
1.63600,7796
1.65200,7865
1.75400,7929
1.75400,7994
1.80600,8062
1.80600,8127
1.83600,8194
1.79800,8259
1.79800,8323
1.68400,8392
1.68400,8457
1.50800,8525
1.50800,8590
1.53000,8654
1.44200,8722
1.44200,8787
1.83600,8855
1.83600,8919
1.82800,8984
1.52400,9053
1.52400,9117
1.57000,9185
1.57000,9250
1.49800,9315
1.58600,9382
1.58600,9447
1.61200,9515
1.61200,9580
1.70800,9647
1.67200,9712
1.67200,9777
1.52800,9845
1.52800,9910
1.49400,9978
1.49400,10043
1.55600,10107
1.48800,10176
1.48800,10240
1.60000,10308
1.41600,10372
1.41600,10438
1.78000,10506
1.78000,10570
2.01600,10639
1.91000,10703
1.91000,10768
2.08000,10836
2.08000,10901
2.40600,10969
2.31400,11034
2.31400,11098
2.25400,11166
2.25400,11232
2.16600,11296
1.78000,11364
1.78000,11429
1.59600,11497
1.59600,11561
1.62600,11627
1.54000,11694
1.54000,11759
1.54000,11828
1.54000,11892
1.57000,11957
1.50800,12025
1.50800,12090
1.47200,12157
1.52000,12223
1.52000,12287
1.46400,12355
1.46400,12420
1.47200,12488
1.59600,12553
1.59600,12617
1.48400,12686
1.48400,12750
1.68400,12819
1.54000,12883
1.54000,12948
1.51400,13016
1.51400,13081
1.52000,13145
1.52800,13214
1.52800,13279
1.53000,13346
1.53000,13411
1.52400,13476
1.48400,13544
1.48400,13608
1.48400,13677
1.48400,13741
1.48400,13806
1.48400,13875
1.48400,13939
1.48400,14008
1.48400,14072
1.48400,14137
1.48200,14204
1.48200,14270
1.48400,14337
1.48200,14402
1.48200,14467
1.49400,14535
1.49400,14600
1.44800,14668
1.45200,14733
1.45200,14797
1.45200,14866
1.45200,14930
1.47400,14998
1.47400,15063
1.47400,15128
1.47800,15195
1.47800,15261
1.47800,15326
1.45800,15393
1.45800,15459
1.45200,15526
1.45200,15591
1.46200,15655
1.44800,15724
1.44800,15788
1.46200,15857
1.46200,15921
1.59600,15986
1.60000,16055
1.60000,16119
1.48200,16187
1.48800,16252
1.48800,16317
1.48200,16384
1.48200,16449
1.48200,16517
1.47200,16582
1.47200,16646
1.45800,16715
1.45800,16780
1.44800,16848
1.45800,16913
1.45800,16977
1.45400,17046
1.45400,17110
1.44800,17175
1.44800,17242
1.44800,17308
1.45200,17376
1.45200,17440
1.45200,17506
1.44800,17573
1.44800,17638
1.44800,17706
1.44800,17771
1.44800,17835
1.45200,17904
1.45200,17968
1.45200,18036
1.45200,18102
1.45200,18166
1.45200,18234
1.45200,18299
1.46400,18367
1.45200,18431
1.45200,18497
1.45200,18564
1.45200,18629
1.44800,18698
1.46400,18762
1.46400,18827
1.45200,18895
1.45200,18960
1.45200,19024
1.44800,19093
1.44800,19157
1.44800,19225
1.44800,19290
1.44800,19355
1.45200,19423
1.45200,19487
1.45200,19556
1.45200,19620
1.45400,19685
1.45200,19753
1.45200,19818
1.45200,19886
1.45200,19951
1.45800,20015
1.45400,20084
1.45400,20149
1.45200,20216
1.45200,20281
1.45200,20346
1.55600,20414
1.55600,20478
1.69400,20547
1.74600,20611
1.74600,20676
1.89400,20745
1.89400,20809
2.30400,20878
2.18000,20942
2.18000,21007
2.21200,21074
